Date,overall_score,composition_score,revitalization_score,duration_score,deep_sleep_in_minutes,resting_heart_rate,restlessness
2020-01-28T08:37:30Z,80,18,22,40,39,51,0.08198284080076260
2020-01-27T08:26:30Z,61,13,23,25,13,52,0.06716417910447760
2020-01-26T08:59:00Z,82,17,22,43,84,52,0.08096468561584840
2020-01-25T10:13:30Z,85,20,20,45,95,51,0.07920792079207920
2020-01-23T08:30:30Z,77,17,20,40,45,52,0.06824644549763030
2020-01-22T08:24:30Z,78,19,22,37,37,51,0.07724867724867730
2020-01-21T06:47:00Z,78,19,21,38,22,51,0.0784729586426299
2020-01-20T10:05:30Z,78,17,20,41,28,51,0.14796238244514100
2020-01-19T09:35:30Z,84,21,19,44,44,50,0.12223133716160800
2020-01-18T09:35:00Z,85,21,19,45,56,48,0.07078853046594980
2020-01-17T08:06:30Z,72,15,22,35,31,48,0.06364617044228700
2020-01-16T08:06:00Z,79,19,21,39,37,47,0.078125
2020-01-15T07:19:30Z,68,14,21,33,5,46,0.07386990077177510
2020-01-11T10:17:00Z,82,17,21,44,69,46,0.1060985797827900
2020-01-10T08:07:30Z,78,19,20,39,31,46,0.08306709265175720
2020-01-09T08:52:30Z,77,16,20,41,61,46,0.09463414634146340
2020-01-08T08:06:30Z,72,17,22,33,55,46,0.07099879663056560
2020-01-06T08:07:00Z,75,17,21,37,53,49,0.07717750826901870
2020-01-05T08:04:00Z,68,13,22,33,0,49,0.09404761904761910
2020-01-04T10:50:30Z,83,18,21,44,56,50,0.07776904948939510
2020-01-03T10:25:30Z,74,17,18,39,67,49,0.1008729388942770
2020-01-02T07:19:00Z,72,16,21,35,45,50,0.07384987893462470
2020-01-01T10:44:30Z,64,15,12,37,39,48,0.08394543546694650
2019-12-31T08:50:30Z,68,15,14,39,29,48,0.0913508260447036
2019-12-29T10:03:30Z,79,19,19,41,20,47,0.11211072664359900
2019-12-27T10:09:30Z,85,19,22,44,57,47,0.0704879938032533
2019-12-26T09:06:30Z,89,21,22,46,69,47,0.07173356105892400
2019-12-24T08:33:30Z,84,20,23,41,47,49,0.05870236869207000
2019-12-23T08:45:30Z,84,17,22,45,57,49,0.05420267085624510
2019-12-22T10:21:00Z,83,17,20,46,89,48,0.09815436241610740
2019-12-21T09:19:00Z,78,16,21,41,30,48,0.08135942327497430
2019-12-20T08:35:30Z,79,19,22,38,81,48,0.06766917293233080
2019-12-19T08:28:30Z,75,16,23,36,69,48,0.0591016548463357
2019-12-18T09:07:30Z,80,20,19,41,44,47,0.0729483282674772
2019-12-17T08:57:00Z,73,17,22,34,47,48,0.07030430220356770
2019-12-15T09:53:30Z,65,16,14,35,57,47,0.07287933094384710
2019-12-14T09:41:30Z,80,20,21,39,61,46,0.06717226435536290
2019-12-13T08:12:30Z,71,17,22,32,51,47,0.0647693817468106
2019-12-12T08:21:30Z,77,17,21,39,89,46,0.08943862987630830
2019-12-11T08:22:00Z,82,17,23,42,79,47,0.05708460754332310
2019-12-09T09:03:00Z,81,18,18,45,28,47,0.08311229000884170
2019-12-08T08:41:30Z,71,14,16,41,6,47,0.17205998421468000
2019-12-07T09:30:30Z,64,16,14,34,38,46,0.0979431929480901
2019-12-06T08:14:30Z,74,15,22,37,22,46,0.0744336569579288
